software_id,status_code,cpu,hardware,vehicle_type,model,engine,replacements,error
89663-0C850-A,200,76F0070 TDFP04-2008 FOREST-1,89661-0CC11 CPU: 76F0070 TDFP04-2008 FOREST-1,"4WD,W/T",,,,
89663-0C851-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CC11 CPU: 76F0070 TDFP04-2008 FOREST-1,"4WD,W/T",,,,
89663-0C852-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CD21 CPU: 76F0070 TDFP04-2008 FOREST-1,4WD/Tow,,,,
89663-0C862-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CC22 CPU: 76F0070 TDFP04-2008 FOREST-1,GSK50/51,,,,
89663-0C880-,200,,,,,,,
89663-0C891-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CC51 CPU: 76F0070 TDFP04-2008 FOREST-1,4WD/Nor,,,,
89663-0C892-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CC52 CPU: 76F0070 TDFP04-2008 FOREST-1,USK55-57,,,,
89663-0CA00-B,200,76F0070 TDFP04-2008 FOREST-1,89661-0CC61 CPU: 76F0070 TDFP04-2008 FOREST-1,4WD/TOW,,,,
89663-0CA01-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CC61 CPU: 76F0070 TDFP04-2008 FOREST-1,4WD/TOW,,,,
89663-0CA02-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CC62 CPU: 76F0070 TDFP04-2008 FOREST-1,USK55-57,,,,
89663-0CA11-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CC71 CPU: 76F0070 TDFP04-2008 FOREST-1,Normal,,,,
89663-0CA12-,200,,,4WD STD,,,,
89663-0CA21-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CC81 CPU: 76F0070 TDFP04-2008 FOREST-1,Towing,,,,
89663-0CA22-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CC82 CPU: 76F0070 TDFP04-2008 FOREST-1,4WD TOW,,,,
89663-0CA31-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CC91 CPU: 76F0070 TDFP04-2008 FOREST-1,2WD/Nor,,,,
89663-0CA32-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CC92 CPU: 76F0070 TDFP04-2008 FOREST-1,"2WD,WoT",,,,
89663-0CA33-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CC93 CPU: 76F0070 TDFP04-2008 FOREST-1,USK50-52/55-57,,,,
89663-0CA41-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CD01 CPU: 76F0070 TDFP04-2008 FOREST-1,2WD/Tow,,,,
89663-0CA42-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CD02 CPU: 76F0070 TDFP04-2008 FOREST-1,"2WD,WT",,,,
89663-0CA43-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CD03 CPU: 76F0070 TDFP04-2008 FOREST-1,USK50-52/55-57,,,,
89663-0CA51-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CD11 CPU: 76F0070 TDFP04-2008 FOREST-1,4WD/Nor,,,,
89663-0CA52-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CD12 CPU: 76F0070 TDFP04-2008 FOREST-1,"4WD,WoT",,,,
89663-0CA53-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CD13 CPU: 76F0070 TDFP04-2008 FOREST-1,USK50-52/55-57,,,,
89663-0CA61-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CD21 CPU: 76F0070 TDFP04-2008 FOREST-1,4WD/Tow,,,,
89663-0CA63-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CD23 CPU: 76F0070 TDFP04-2008 FOREST-1,USK50-52/55-57,,,,
89663-0CA71-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CD31 CPU: 76F0070 TDFP04-2008 FOREST-1,Towing,,,,
89663-0CA72-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CD32 CPU: 76F0070 TDFP04-2008 FOREST-1,4WD TOW,,,,
89663-0CA81-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CD41 CPU: 76F0070 TDFP04-2008 FOREST-1,Towing,,,,
89663-0CA82-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CD42 CPU: 76F0070 TDFP04-2008 FOREST-1,2WD TOW,,,,
89663-0CA91-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CD51 CPU: 76F0070 TDFP04-2008 FOREST-1,Normal,,,,
89663-0CA92-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CD52 CPU: 76F0070 TDFP04-2008 FOREST-1,4WD STD,,,,
89663-0CB01-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CD61 CPU: 76F0070 TDFP04-2008 FOREST-1,Normal,,,,
89663-0CB02-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CD62 CPU: 76F0070 TDFP04-2008 FOREST-1,2WD STD,,,,
89663-0CB11-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CD81 CPU: 76F0070 TDFP04-2008 FOREST-1,GSK50/51,,,,
89663-0CB30-,200,,,,,,,
89663-0CB61-,200,76F0038AGD TDFP03-0006 32BHS768K,89661-0CE31 CPU: 76F0038AGD TDFP03-0006 32BHS768K,UCK50-52/55-57,,,,
89663-0CB71-,200,76F0038AGD TDFP03-0006 32BHS768K,89661-0CE41 CPU: 76F0038AGD TDFP03-0006 32BHS768K,UCK50-52/55-57,,,,
89663-0CB81-,200,76F0038AGD TDFP03-0006 32BHS768K,89661-0CE51 CPU: 76F0038AGD TDFP03-0006 32BHS768K,UCK50-52/55-57,,,,
89663-0CB91-,200,76F0038AGD TDFP03-0006 32BHS768K,89661-0CE61 CPU: 76F0038AGD TDFP03-0006 32BHS768K,UCK50-52/55-57,,,,
89663-0CC01-,200,76F0038AGD TDFP03-0006 32BHS768K,89661-0CE71 CPU: 76F0038AGD TDFP03-0006 32BHS768K,2WDTOW,,,,
89663-0CC11-,200,76F0038AGD TDFP03-0006 32BHS768K,89661-0CE81 CPU: 76F0038AGD TDFP03-0006 32BHS768K,4WDTOW,,,,
89663-0CC21-,200,76F0038AGD TDFP03-0006 32BHS768K,89661-0CE91 CPU: 76F0038AGD TDFP03-0006 32BHS768K,2WDSTD,,,,
89663-0CC30-,200,76F0038AGD TDFP03-0006 32BHS768K,89661-0CF01 CPU: 76F0038AGD TDFP03-0006 32BHS768K,4WDSTD,,,,
89663-0CC31-,200,76F0038AGD TDFP03-0006 32BHS768K,89661-0CF01 CPU: 76F0038AGD TDFP03-0006 32BHS768K,4WDSTD,,,,
89663-0CC40-,200,,,,,,,
89663-0CC42-,200,,,,,,,
89663-0CC52-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CF22 CPU: 76F0070 TDFP04-2008 FOREST-1,UPK50-52/55-57,,,,
89663-0CC62-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CF32 CPU: 76F0070 TDFP04-2008 FOREST-1,UPK50-52/55-57,,,,
89663-0CD01-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CF71 CPU: 76F0070 TDFP04-2008 FOREST-1,"2WD,WoT",,,,
89663-0CD02-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CF72 CPU: 76F0070 TDFP04-2008 FOREST-1,USK50-52/55-57,,,,
89663-0CD10-A,200,76F0070 TDFP04-2008 FOREST-1,89661-0CF81 CPU: 76F0070 TDFP04-2008 FOREST-1,"2WD,WT",,,,
89663-0CD11-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CF81 CPU: 76F0070 TDFP04-2008 FOREST-1,"2WD,WT",,,,
89663-0CD13-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CF83 CPU: 76F0070 TDFP04-2008 FOREST-1,USK50-52/55-57,,,,
89663-0CD20-A,200,76F0070 TDFP04-2008 FOREST-1,89661-0CF91 CPU: 76F0070 TDFP04-2008 FOREST-1,"4WD,WoT",,,,
89663-0CD21-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CF91 CPU: 76F0070 TDFP04-2008 FOREST-1,"4WD,WoT",,,,
89663-0CD22-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CF92 CPU: 76F0070 TDFP04-2008 FOREST-1,USK50-52/55-57,,,,
89663-0CD30-A,200,76F0070 TDFP04-2008 FOREST-1,89661-0CG01 CPU: 76F0070 TDFP04-2008 FOREST-1,"4WD,WT",,,,
89663-0CD31-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CG01 CPU: 76F0070 TDFP04-2008 FOREST-1,"4WD,WT",,,,
89663-0CD33-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CG03 CPU: 76F0070 TDFP04-2008 FOREST-1,USK50-52/55-57,,,,
89663-0CD40-A,200,76F0070 TDFP04-2008 FOREST-1,89661-0CG10 CPU: 76F0070 TDFP04-2008 FOREST-1,"2WD,WoT",,,,
89663-0CD41-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CG10 CPU: 76F0070 TDFP04-2008 FOREST-1,"2WD,WoT",,,,
89663-0CD50-A,200,76F0070 TDFP04-2008 FOREST-1,89661-0CG20 CPU: 76F0070 TDFP04-2008 FOREST-1,"4WD,WoT",,,,
89663-0CD51-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CG20 CPU: 76F0070 TDFP04-2008 FOREST-1,"4WD,WoT",,,,
89663-0CD61-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CG31 CPU: 76F0070 TDFP04-2008 FOREST-1,USK55-57,,,,
89663-0CD70-A,200,76F0070 TDFP04-2008 FOREST-1,89661-0CG42 CPU: 76F0070 TDFP04-2008 FOREST-1,USK55-57,,,,
89663-0CD72-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CG42 CPU: 76F0070 TDFP04-2008 FOREST-1,USK55-57,,,,
89663-0CD73-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CG43 CPU: 76F0070 TDFP04-2008 FOREST-1,"USK56 ÐÐ²Ð¸Ð³Ð°ÑÐµÐ»Ñ: 3URFBE ÐÐ¾Ð´ÐµÐ»Ñ : Tundra 10,4WD,TOW FlexFuel",,,,
89663-0CD82-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CG52 CPU: 76F0070 TDFP04-2008 FOREST-1,GSK50/51,,,,
89663-0CE11-,200,,,4WD STD,,,,
89663-0CE20-A,200,76F0070 TDFP04-2008 FOREST-1,89661-0CG91 CPU: 76F0070 TDFP04-2008 FOREST-1,4WD TOW,,,,
89663-0CE21-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CG91 CPU: 76F0070 TDFP04-2008 FOREST-1,4WD TOW,,,,
89663-0CE30-A,200,,,4WD TOW,,,,
89663-0CE31-,200,,,4WD TOW,,,,
89663-0CE41-,200,,,2WD TOW,,,,
89663-0CE51-,200,,,4WD STD,,,,
89663-0CE61-,200,,,2WD STD,,,,
89663-0CE82-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CJ52 CPU: 76F0070 TDFP04-2008 FOREST-1,2WD TOW,,,,
89663-0CE83-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CJ53 CPU: 76F0070 TDFP04-2008 FOREST-1,2WD TOW,,,,
89663-0CE92-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CJ62 CPU: 76F0070 TDFP04-2008 FOREST-1,4WD TOW,,,,
89663-0CE93-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CJ63 CPU: 76F0070 TDFP04-2008 FOREST-1,4WD TOW,,,,
89663-0CF01-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CJ71 CPU: 76F0070 TDFP04-2008 FOREST-1,2WD STD,,,,
89663-0CF02-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CJ72 CPU: 76F0070 TDFP04-2008 FOREST-1,2WD STD,,,,
89663-0CF11-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CJ81 CPU: 76F0070 TDFP04-2008 FOREST-1,4WD STD,,,,
89663-0CF12-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CJ82 CPU: 76F0070 TDFP04-2008 FOREST-1,4WD STD,,,,
89663-0CF31-,200,,,,,,,
89663-0CF32-,200,,,,,,,
89663-0CF60-A,200,76F0070 TDFP04-2008 FOREST-1,89661-0CK11 CPU: 76F0070 TDFP04-2008 FOREST-1,2WD TOW,,,,
89663-0CF61-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CK11 CPU: 76F0070 TDFP04-2008 FOREST-1,2WD TOW,,,,
89663-0CF71-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CK21 CPU: 76F0070 TDFP04-2008 FOREST-1,2WD STD,,,,
89663-0CG10-A,200,76F0070 TDFP04-2008 FOREST-1,89661-0CK61 CPU: 76F0070 TDFP04-2008 FOREST-1,AB60 4WD,,,,
89663-0CG11-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CK61 CPU: 76F0070 TDFP04-2008 FOREST-1,AB60 4WD,,,,
89663-0CG32-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CL22 CPU: 76F0070 TDFP04-2008 FOREST-1,USK60~5L,,,,
89663-0CG33-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CL23 CPU: 76F0070 TDFP04-2008 FOREST-1,USK6#,,,,
89663-0CG50-A,200,76F0070 TDFP04-2008 FOREST-1,89661-0CL01 CPU: 76F0070 TDFP04-2008 FOREST-1,USK5*,,,,
89663-0CG51-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CL01 CPU: 76F0070 TDFP04-2008 FOREST-1,USK5*,,,,
89663-0CG52-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CL02 CPU: 76F0070 TDFP04-2008 FOREST-1,USK56 ÐÐ²Ð¸Ð³Ð°ÑÐµÐ»Ñ: 3URFBE ÐÐ¾Ð´ÐµÐ»Ñ : Tundra 11-11,,,,
89663-0CG61-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CL31 CPU: 76F0070 TDFP04-2008 FOREST-1,2WD TOW,,,,
89663-0CG80-A,200,,,4WD TOW,,,,
89663-0CJ40-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CN82 CPU: 76F0070 TDFP04-2008 FOREST-1,USK60~5L,,,,
89663-0CJ41-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CN82 CPU: 76F0070 TDFP04-2008 FOREST-1,USK60~5L,,,,
89663-0CJ42-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CN82 CPU: 76F0070 TDFP04-2008 FOREST-1,USK60~5L,,,,
89663-0CJ43-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CN83 CPU: 76F0070 TDFP04-2008 FOREST-1,USK6#,,,,
89663-0CJ54-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CM24 CPU: 76F0070 TDFP04-2008 FOREST-1,USK50~2 55~7L,,,,
89663-0CJ60-A,200,76F0070 TDFP04-2008 FOREST-1,89661-0CM34 CPU: 76F0070 TDFP04-2008 FOREST-1,USK50~2 55~7L,,,,
89663-0CJ61-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CM34 CPU: 76F0070 TDFP04-2008 FOREST-1,USK50~2 55~7L,,,,
89663-0CJ62-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CM34 CPU: 76F0070 TDFP04-2008 FOREST-1,USK50~2 55~7L,,,,
89663-0CJ63-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CM34 CPU: 76F0070 TDFP04-2008 FOREST-1,USK50~2 55~7L,,,,
89663-0CJ64-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CM34 CPU: 76F0070 TDFP04-2008 FOREST-1,USK50~2 55~7L,,,,
89663-0CJ72-,200,,,,,,,
89663-0CJ80-A,200,,,,,,,
89663-0CJ90-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CM66 CPU: 76F0070 TDFP04-2008 FOREST-1,"USK55L,56L,57L",,,,
89663-0CJ91-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CM66 CPU: 76F0070 TDFP04-2008 FOREST-1,"USK55L,56L,57L",,,,
89663-0CJ92-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CM66 CPU: 76F0070 TDFP04-2008 FOREST-1,"USK55L,56L,57L",,,,
89663-0CJ93-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CM66 CPU: 76F0070 TDFP04-2008 FOREST-1,"USK55L,56L,57L",,,,
89663-0CJ94-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CM66 CPU: 76F0070 TDFP04-2008 FOREST-1,"USK55L,56L,57L",,,,
89663-0CJ95-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CM66 CPU: 76F0070 TDFP04-2008 FOREST-1,"USK55L,56L,57L",,,,
89663-0CJ96-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CM66 CPU: 76F0070 TDFP04-2008 FOREST-1,"USK55L,56L,57L",,,,
89663-0CK00-A,200,76F0070 TDFP04-2008 FOREST-1,89661-0CM76 CPU: 76F0070 TDFP04-2008 FOREST-1,"USK55L,56L,57L",,,,
89663-0CK01-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CM76 CPU: 76F0070 TDFP04-2008 FOREST-1,"USK55L,56L,57L",,,,
89663-0CK02-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CM76 CPU: 76F0070 TDFP04-2008 FOREST-1,"USK55L,56L,57L",,,,
89663-0CK03-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CM76 CPU: 76F0070 TDFP04-2008 FOREST-1,"USK55L,56L,57L",,,,
89663-0CK04-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CM76 CPU: 76F0070 TDFP04-2008 FOREST-1,"USK55L,56L,57L",,,,
89663-0CK06-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CM76 CPU: 76F0070 TDFP04-2008 FOREST-1,"USK55L,56L,57L",,,,
89663-0CK07-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CM77 CPU: 76F0070 TDFP04-2008 FOREST-1,"USK55L,56L,57L ÐÐ²Ð¸Ð³Ð°ÑÐµÐ»Ñ: 3URFBE ÐÐ¾Ð´ÐµÐ»Ñ : Tundra, Sequoia 12-13",,,,
89663-0CK14-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CM84 CPU: 76F0070 TDFP04-2008 FOREST-1,USK60~5L,,,,
89663-0CK24-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CM94 CPU: 76F0070 TDFP04-2008 FOREST-1,USK60~5L,,,,
89663-0CK40-A,200,,,,,,,
89663-0CK53-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CN26 CPU: 76F0070 TDFP04-2008 FOREST-1,USK65L,,,,
89663-0CK56-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CN26 CPU: 76F0070 TDFP04-2008 FOREST-1,USK65L,,,,
89663-0CK61-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CN36 CPU: 76F0070 TDFP04-2008 FOREST-1,USK65L,,,,
89663-0CK63-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CN36 CPU: 76F0070 TDFP04-2008 FOREST-1,USK65L,,,,
89663-0CK66-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CN36 CPU: 76F0070 TDFP04-2008 FOREST-1,USK65L,,,,
89663-0CK70-,200,,,,,,,
89663-0CK80-,200,,,,,,,
89663-0CL02-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CP02 CPU: 76F0070 TDFP04-2008 FOREST-1,USK51~2 56~7L,,,,
89663-0CL03-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CP03 CPU: 76F0070 TDFP04-2008 FOREST-1,USK5#,,,,
89663-0CL10-A,200,76F0070 TDFP04-2008 FOREST-1,89661-0CP12 CPU: 76F0070 TDFP04-2008 FOREST-1,USK51~2 56~7L,,,,
89663-0CL12-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CP12 CPU: 76F0070 TDFP04-2008 FOREST-1,USK51~2 56~7L,,,,
89663-0CL13-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CP13 CPU: 76F0070 TDFP04-2008 FOREST-1,USK5#,,,,
89663-0CL20-A,200,76F0070 TDFP04-2008 FOREST-1,89661-0CP20 CPU: 76F0070 TDFP04-2008 FOREST-1,USK5#,,,,
89663-0CL21-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CP20 CPU: 76F0070 TDFP04-2008 FOREST-1,USK5#,,,,
89663-0CL32-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CP32 CPU: 76F0070 TDFP04-2008 FOREST-1,USK56~7L,,,,
89663-0CL33-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CP33 CPU: 76F0070 TDFP04-2008 FOREST-1,"USK56L,57L",,,,
89663-0CL34-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CP34 CPU: 76F0070 TDFP04-2008 FOREST-1,USK5#,,,,
89663-0CL40-B,200,76F0070 TDFP04-2008 FOREST-1,89661-0CP42 CPU: 76F0070 TDFP04-2008 FOREST-1,USK56~7L,,,,
89663-0CL41-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CP42 CPU: 76F0070 TDFP04-2008 FOREST-1,USK56~7L,,,,
89663-0CL42-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CP42 CPU: 76F0070 TDFP04-2008 FOREST-1,USK56~7L,,,,
89663-0CL43-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CP43 CPU: 76F0070 TDFP04-2008 FOREST-1,"USK56L,57L",,,,
89663-0CL44-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CP44 CPU: 76F0070 TDFP04-2008 FOREST-1,USK5#,,,,
89663-0CL45-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CP45 CPU: 76F0070 TDFP04-2008 FOREST-1,USK56 ÐÐ²Ð¸Ð³Ð°ÑÐµÐ»Ñ: 3URFBE ÐÐ¾Ð´ÐµÐ»Ñ : TUNDRA 14-15,,,,
89663-0CL50-A,200,76F0070 TDFP04-2008 FOREST-1,89661-0CN62 CPU: 76F0070 TDFP04-2008 FOREST-1,UPK5#,,,,
89663-0CL52-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CN62 CPU: 76F0070 TDFP04-2008 FOREST-1,UPK5#,,,,
89663-0CL71-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CN90 CPU: 76F0070 TDFP04-2008 FOREST-1,USK6#,,,,
89663-0CL80-A,200,,,,,,,
89663-0CM00-A,200,76F0070 TDFP04-2008 FOREST-1,89661-0CP72 CPU: 76F0070 TDFP04-2008 FOREST-1,USK65L,,,,
89663-0CM02-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CP72 CPU: 76F0070 TDFP04-2008 FOREST-1,USK65L,,,,
89663-0CM03-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CP73 CPU: 76F0070 TDFP04-2008 FOREST-1,USK65L,,,,
89663-0CM04-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CP74 CPU: 76F0070 TDFP04-2008 FOREST-1,USK65,,,,
89663-0CM11-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CM12 CPU: 76F0070 TDFP04-2008 FOREST-1,UPK5#,,,,
89663-0CM12-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CM12 CPU: 76F0070 TDFP04-2008 FOREST-1,UPK5#,,,,
89663-0CM21-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CP81 CPU: 76F0070 TDFP04-2008 FOREST-1,USK51~2 56~7L,,,,
89663-0CM22-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CP82 CPU: 76F0070 TDFP04-2008 FOREST-1,USK5#,,,,
89663-0CM31-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CP91 CPU: 76F0070 TDFP04-2008 FOREST-1,USK56~7L,,,,
89663-0CM32-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CP92 CPU: 76F0070 TDFP04-2008 FOREST-1,"USK56L,57L",,,,
89663-0CM33-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CP93 CPU: 76F0070 TDFP04-2008 FOREST-1,USK5#,,,,
89663-0CM41-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CQ31 CPU: 76F0070 TDFP04-2008 FOREST-1,USK65,,,,
89663-0CM51-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CQ21 CPU: 76F0070 TDFP04-2008 FOREST-1,USK5#,,,,
89663-0CM61-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CQ01 CPU: 76F0070 TDFP04-2008 FOREST-1,USK5#,,,,
89663-0CM71-,200,76F0070 TDFP04-2008 FOREST-1,89661-0CQ11 CPU: 76F0070 TDFP04-2008 FOREST-1,USK5#,,,,
89663-0CN11-,200,D76F0219F1 (2Mb),None CPU: D76F0219F1 (2Mb),USK5# ÐÐ²Ð¸Ð³Ð°ÑÐµÐ»Ñ: 3URFE ÐÐ¾Ð´ÐµÐ»Ñ : TUNDRA 18-18 4WD,,,,
89663-0CN62-,200,D76F0219F1 (2Mb),None CPU: D76F0219F1 (2Mb),USK5# ÐÐ²Ð¸Ð³Ð°ÑÐµÐ»Ñ: 3URFBE ÐÐ¾Ð´ÐµÐ»Ñ : Tundra 18-18 4WD,,,,
89663-0CU20-,200,,,,,,,
89663-0CU30-,200,,,,,,,
89663-0CU60-,200,,,,,,,
89663-0D120-B,200,,,,,,,
89663-0D121-,200,,,,,,,
89663-0D122-,200,76F0039GD 32BH512K,89661-0D311 CPU: 76F0039GD 32BH512K,SCP90 ÐÐ²Ð¸Ð³Ð°ÑÐµÐ»Ñ: 2SZFE ÐÐ¾Ð´ÐµÐ»Ñ : Yaris 02.2008 - 11.2008,,,,
89663-0D130-B,200,,,,,,,
89663-0D131-,200,76F0039GD 32BH512K,89661-0D400 CPU: 76F0039GD 32BH512K,SCP90 ÐÐ²Ð¸Ð³Ð°ÑÐµÐ»Ñ: 2SZFE ÐÐ¾Ð´ÐµÐ»Ñ : Yaris 11.2005 - 02.2008,,,,
89663-0D132-,200,76F0039GD 32BH512K,89661-0D401 CPU: 76F0039GD 32BH512K,SCP90 ÐÐ²Ð¸Ð³Ð°ÑÐµÐ»Ñ: 2SZFE ÐÐ¾Ð´ÐµÐ»Ñ : Yaris 02.2008 - 11.2008,,,,
89663-0D150-B,200,,,,,,,
89663-0D151-,200,76F0039GD 32BH512K,89661-0D420 CPU: 76F0039GD 32BH512K,SCP90 ÐÐ²Ð¸Ð³Ð°ÑÐµÐ»Ñ: 2SZFE ÐÐ¾Ð´ÐµÐ»Ñ : Yaris 11.2005 - 02.2008,,,,
89663-0D191-,200,,,,,,,
89663-0D192-,200,,,,,,,
89663-0D201-,200,,,,,,,
89663-0D301-,200,,,,,,,
89663-0D401-,200,,,,,,,
89663-0D490-A,200,,,,,,,
89663-0D530-A,200,,,,,,,
89663-0D531-,200,,,,,,,
89663-0D532-,200,,,,,,,
89663-0D540-,200,,,,,,,
89663-0D541-,200,,,,,,,
89663-0D542-,200,,,,,,,
89663-0D581-,200,76F0085 TDFP05-2008 FOREST-2,None CPU: 76F0085 TDFP05-2008 FOREST-2,NSP90 ÐÐ²Ð¸Ð³Ð°ÑÐµÐ»Ñ: 1NRFE ÐÐ¾Ð´ÐµÐ»Ñ : Yaris 09-10,,,,
89663-0D582-,200,76F0085 TDFP05-2008 FOREST-2,89661-0DB01 CPU: 76F0085 TDFP05-2008 FOREST-2,NSP90 ÐÐ²Ð¸Ð³Ð°ÑÐµÐ»Ñ: 1NRFE ÐÐ¾Ð´ÐµÐ»Ñ : Yaris 09-10,,,,
